"link_vacancy","vacancy_name","skills","create_time","salary","company","work_exp"
"https://spb.hh.ru/vacancy/45795577?from=vacancy_search_list&query=Python","Web-разработчик (React, Python)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46357399?from=vacancy_search_list&query=Python","Senior Python Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47470177?from=vacancy_search_list&query=Python","Python Developer","['Python', 'Английский язык', 'Software Development', 'C++', 'Teambuilding', 'Golang', 'FrontEnd']","30 августа 2021","з/п не указана","Dell Technologies, Центр Разработок","более 6 лет"
"https://spb.hh.ru/vacancy/46826778?from=vacancy_search_list&query=Python","Программист Backend/Python (remote)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46754678?from=vacancy_search_list&query=Python","Python Developer (Удаленно)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/44655486?from=vacancy_search_list&query=Python","Python Developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47100052?from=vacancy_search_list&query=Python","Middle Python developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/46668563?from=vacancy_search_list&query=Python","Python Backend Developer","['Python', 'SQL', 'REST API', 'Flask']","17 августа 2021","з/п не указана","Playrix","1–3 года"
"https://spb.hh.ru/vacancy/47134325?from=vacancy_search_list&query=Python","Python/Go Developer","['Golang', 'RabbitMQ', 'Redis', 'MongoDB', 'PostgreSQL']","17 августа 2021","з/п не указана","Lamoda","3–6 лет"
"https://spb.hh.ru/vacancy/46823861?from=vacancy_search_list&query=Python","Python Back-end Разработчик / Python Back-end Developer","['Python', 'Linux', 'PostgreSQL', 'Flask', 'Redis', 'Docker']","18 августа 2021","з/п не указана","Доктор Веб","Горьковская"
"https://spb.hh.ru/vacancy/47254843?from=vacancy_search_list&query=Python","Middle Python developer","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47218568?from=vacancy_search_list&query=Python","Специалист по алгоритмическому моделированию/разработчик Python [id32501]","['Python', 'Java', 'REST', 'Linux', 'ООП']","19 августа 2021","з/п не указана","ПАО «Газпром нефть»","1–3 года"
"https://spb.hh.ru/vacancy/46335326?from=vacancy_search_list&query=Python","Разработчик Python (backend)","['Python', 'Английский язык', 'Citrix', 'Citrix Systems', 'backend', 'ORACLE', 'Сетевые технологии']","18 августа 2021","з/п не указана","МегаФон, IT","1–3 года"
"https://spb.hh.ru/vacancy/47103960?from=vacancy_search_list&query=Python","Backend разработчик на Python","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/43046032?from=vacancy_search_list&query=Python","Python developer","['Python', 'Linux', 'C++', 'Git']","19 августа 2021","з/п не указана","Специальный Технологический Центр","1–3 года"
"https://spb.hh.ru/vacancy/45398266?from=vacancy_search_list&query=Python","Инженер-программист Python","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47293932?from=vacancy_search_list&query=Python","Senior Python Developer","['Python', 'Django', 'REST API', 'pytest', 'Docker', 'gitlab']","23 августа 2021","з/п не указана","ПЕРВЫЙ ЦУПИС","3–6 лет"
"https://spb.hh.ru/vacancy/46952356?from=vacancy_search_list&query=Python","Автор / Преподаватель курса ""Python-разработчик"" (Онлайн)","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47098407?from=vacancy_search_list&query=Python","Senior Python Developer, PowerStore","['Python', 'Linux', 'Английский язык', 'Team management', 'Machine Learning']","31 августа 2021","з/п не указана","Dell Technologies, Центр Разработок","1–3 года"
"https://spb.hh.ru/vacancy/47224419?from=vacancy_search_list&query=Python","Разработчик на Python  в FinTech-проект","[]","[]","","[]",""
"https://spb.hh.ru/vacancy/47290787?from=vacancy_search_list&query=Python","QA Automation (Python)","[]","[]","","[]",""
